['-0.01', '+0.94', '-0.44', '-0.05', '+0.01', '+0.06', '+0.00', '+0.00']
['-0.09', '+0.84', '-0.39', '-0.58', '-0.13', '-0.15', '+0.00', '+0.00']
['-0.17', '+0.62', '-0.36', '-0.67', '-0.25', '-0.09', '+0.00', '+0.00']
['-0.21', '+0.45', '-0.07', '-0.50', '-0.28', '+0.04', '+0.00', '+0.00']
['-0.19', '+0.32', '+0.23', '-0.34', '-0.18', '+0.14', '+0.00', '+0.00']
['-0.13', '+0.23', '+0.30', '-0.28', '-0.03', '+0.13', '+0.00', '+0.00']
['-0.06', '+0.15', '+0.30', '-0.24', '+0.09', '+0.10', '+0.00', '+0.00']
['-0.01', '+0.08', '+0.19', '-0.20', '+0.16', '+0.03', '+0.00', '+0.00']
['+0.01', '+0.03', '+0.08', '-0.13', '+0.16', '-0.03', '+0.00', '+0.00']
['+0.02', '-0.00', '-0.00', '+0.01', '-0.02', '+0.08', '+1.00', '+1.00']
['+0.02', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.05', '+0.85', '-0.43', '-0.71', '-0.02', '-0.19', '+0.00', '+0.00']
['-0.13', '+0.61', '-0.32', '-0.70', '-0.18', '-0.13', '+0.00', '+0.00']
['-0.17', '+0.43', '-0.10', '-0.51', '-0.23', '+0.01', '+0.00', '+0.00']
['-0.16', '+0.31', '+0.12', '-0.34', '-0.16', '+0.09', '+0.00', '+0.00']
['-0.12', '+0.22', '+0.21', '-0.27', '-0.06', '+0.10', '+0.00', '+0.00']
['-0.08', '+0.14', '+0.23', '-0.25', '+0.03', '+0.10', '+0.00', '+0.00']
['-0.03', '+0.08', '+0.18', '-0.19', '+0.10', '+0.05', '+0.00', '+0.00']
['-0.00', '+0.03', '+0.12', '-0.14', '+0.13', '-0.00', '+0.00', '+0.00']
['+0.01', '-0.00', '+0.04', '-0.04', '+0.01', '+0.24', '+1.00', '+1.00']
['+0.01', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.01', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.03', '+0.97', '-0.67', '+0.39', '+0.03', '+0.08', '+0.00', '+0.00']
['-0.15', '+1.00', '-0.60', '-0.14', '-0.12', '-0.17', '+0.00', '+0.00']
['-0.27', '+0.88', '-0.62', '-0.67', '-0.24', '-0.10', '+0.00', '+0.00']
['-0.38', '+0.66', '-0.34', '-0.63', '-0.31', '-0.03', '+0.00', '+0.00']
['-0.42', '+0.50', '-0.04', '-0.44', '-0.34', '+0.03', '+0.00', '+0.00']
['-0.39', '+0.40', '+0.26', '-0.31', '-0.24', '+0.14', '+0.00', '+0.00']
['-0.32', '+0.31', '+0.42', '-0.26', '-0.07', '+0.18', '+0.00', '+0.00']
['-0.24', '+0.24', '+0.39', '-0.23', '+0.07', '+0.12', '+0.00', '+0.00']
['-0.16', '+0.17', '+0.33', '-0.22', '+0.16', '+0.07', '+0.00', '+0.00']
['-0.10', '+0.11', '+0.24', '-0.18', '+0.20', '+0.02', '+0.00', '+0.00']
['-0.07', '+0.07', '+0.11', '-0.14', '+0.18', '-0.03', '+0.00', '+0.00']
['-0.06', '+0.03', '-0.03', '-0.11', '+0.11', '-0.07', '+0.00', '+0.00']
['-0.08', '-0.00', '-0.07', '-0.07', '-0.03', '-0.23', '+1.00', '+1.00']
['-0.08', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.08', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.08', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.09', '+0.82', '-0.46', '-0.68', '-0.08', '-0.19', '+0.00', '+0.00']
['-0.18', '+0.60', '-0.39', '-0.63', '-0.22', '-0.11', '+0.00', '+0.00']
['-0.22', '+0.43', '-0.07', '-0.45', '-0.27', '+0.02', '+0.00', '+0.00']
['-0.21', '+0.32', '+0.15', '-0.32', '-0.19', '+0.10', '+0.00', '+0.00']
['-0.16', '+0.23', '+0.33', '-0.27', '-0.06', '+0.16', '+0.00', '+0.00']
['-0.09', '+0.16', '+0.36', '-0.24', '+0.09', '+0.14', '+0.00', '+0.00']
['-0.02', '+0.09', '+0.28', '-0.20', '+0.19', '+0.06', '+0.00', '+0.00']
['+0.02', '+0.04', '+0.14', '-0.14', '+0.21', '-0.03', '+0.00', '+0.00']
['+0.03', '+0.01', '-0.02', '-0.12', '+0.07', '-0.48', '+0.00', '+1.00']
['+0.02', '-0.00', '-0.01', '+0.01', '+0.01', '-0.02', '+1.00', '+1.00']
['+0.02', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.06', '+1.00', '+0.55', '+0.27', '-0.00', '+0.16', '+0.00', '+0.00']
['+0.17', '+0.99', '+0.56', '-0.27', '+0.17', '+0.13', '+0.00', '+0.00']
['+0.29', '+0.83', '+0.57', '-0.80', '+0.27', '+0.07', '+0.00', '+0.00']
['+0.38', '+0.62', '+0.33', '-0.63', '+0.33', '+0.05', '+0.00', '+0.00']
